"today","farmer_ID","catchID","q0","Check2.q1","Check2.q2","Check2.q3","Check2.check.maize.q8","Check2.check.maize.q9","Check2.check.maize.q10","Check2.check.maize.q11","Check2.check.maize.q12","Check2.check.maize.q13","Check2.check.maize.q14","Check2.check.maize.q15","Check2.check.maize.q16","Check2.check.maize.q17","Check2.check.maize.q18","Check2.check.maize.q20","Check2.check.maize.q21","Check2.check.maize.q22","Check2.check.maize.q23","Check2.check.maize.q24","Check2.check.maize.q25a","Check2.check.maize.q25b","Check2.check.maize.q25c","Check2.check.maize.q25d","Check2.check.maize.q25f","Check2.check.maize.q25f_2","Check2.check.maize.q25g","Check2.check.maize.q25h","Check2.check.maize.q26.Longe_10H","Check2.check.maize.q26.Longe_7H","Check2.check.maize.q26.Longe_7R_Kayongo.go","Check2.check.maize.q26.Bazooka","Check2.check.maize.q26.Longe_6H","Check2.check.maize.q26.Longe_5","Check2.check.maize.q26.Longe_4","Check2.check.maize.q26.Panner","Check2.check.maize.q26.Wema","Check2.check.maize.q26.KH_series","Check2.check.maize.q26.Land_Races","Check2.check.maize.q26.Other_hybrid","Check2.check.maize.q26.98","Check2.check.maize.q27","Check2.check.maize.plot_count","Check2.check.maize.q29","Check2.check.maize.q30","Check2.check.maize.q30a.1","Check2.check.maize.q30a.2","Check2.check.maize.q30a.3","Check2.check.maize.q30a.4","Check2.check.maize.q30a.5","Check2.check.maize.q30a.6","Check2.check.maize.q30a.96","Check2.check.maize.q30b","Check2.check.maize.q31","Check2.check.maize.q32","Check2.check.maize.q34","Check2.check.maize.q35a","Check2.check.maize.q35b","Check2.check.maize.q35c","Check2.check.maize.q35d","Check2.check.maize.q35e","Check2.check.maize.q35f","Check2.check.maize.q35g","Check2.check.maize.q35h","Check2.check.maize.q35i","Check2.check.maize.q35j","Check2.check.maize.q36","Check2.check.maize.q36b","Check2.check.maize.q37","Check2.check.maize.q38","Check2.check.maize.q39","Check2.check.maize.q40","Check2.check.maize.q41","Check2.check.maize.q42","Check2.check.maize.q43","Check2.check.maize.q43a","Check2.check.maize.q44","Check2.check.maize.q44a","Check2.check.maize.q45","Check2.check.maize.q46","Check2.check.maize.q47","Check2.check.maize.q48","Check2.check.maize.q49","Check2.check.maize.q50","Check2.check.maize.q51","Check2.check.maize.q52","Check2.check.maize.q53","Check2.check.maize.q54","Check2.check.maize.q55","Check2.check.maize.q56","Check2.check.maize.q57","Check2.check.maize.clearing","Check2.check.maize.clear.shops_count","Check2.check.maize.video_shown"
"2021-04-17","F_2408",81,"Yes","Yes","Yes","n/a",10,2,2.5,4,0,"n/a",40,"Male","a","a",10,4,"b",2,"2010-01-01","No","No","n/a","n/a","n/a","6","n/a","n/a","No","False","False","False","False","False","False","False","False","False","False","True","False","True",2,2,0.5,"Yes","True","False","False","False","False","False","False","80","Land_Races","a","f",2,1,4,1,3,1,5,1,4,3,"Yes","n/a","Yes",5,"n/a","96","4","No","No","n/a","No","n/a",2,30,"No",2,"Yes",2,100,50000,"No","n/a","n/a","n/a",4,TRUE,"2",FALSE
"2021-04-17","F_2325",32,"Yes","Yes","Yes","n/a",5,0,0.5,1,0,"n/a",54,"Male","a","d",7,2,"b",2,"1988-01-01","Yes","No","n/a","n/a","n/a","2","n/a","n/a","No","False","False","False","False","False","True","False","False","False","False","True","False","False",1,1,2,"Yes","True","False","False","False","False","False","False","70","Land_Races","b","98",4,4,3,2,3,3,4,4,2,3,"Yes","n/a","No",12,"0","c","4","No","No","n/a","No","n/a",2,21,"No",4,"Yes",4.5,100,60000,"Yes","3","60000","7",5,TRUE,"18",TRUE
"2021-04-17","F_2409",81,"Yes","Yes","Yes","n/a",6,0.4,2,2,0.1,"n/a",64,"Male","a","c",12,5,"b",10,"1990-01-01","No","Yes","d","n/a","20","n/a","2","n/a","No","True","True","False","False","False","True","False","False","False","False","True","False","False",2,2,1,"Yes","False","False","False","True","False","False","False","70","Longe_5","a","b",4,4,3,4,5,2,5,3,3,4,"Yes","n/a","Yes",10,"n/a","b","2","No","Yes","20","Yes","20",4,30,"Yes",2,"Yes",10,100,60000,"Yes","6","80000","20",25,TRUE,"2",FALSE
"2021-04-17","F_2406",81,"Yes","Yes","Yes","n/a",7,0.5,11,10,0,"n/a",55,"Female","b","b",8,5,"b",3,"1979-01-01","No","No","n/a","n/a","n/a","2","n/a","n/a","Yes","True","False","False","False","False","True","False","False","False","False","False","False","False",1,1,1,"Yes","True","False","False","False","False","False","False","40","Land_Races","b","f",4,3,3,2,2,1,4,4,2,4,"Yes","n/a","Yes",15,"600","c","3","No","No","n/a","No","n/a",2,21,"No",2,"Yes",5,100,50000,"Yes","2","50000","15",5,TRUE,"2",FALSE
"2021-04-17","F_2405",81,"Yes","Yes","Yes","n/a",9,3,3,1,0,"n/a",32,"Male","a","c",10,5,"b",3,"2009-01-01","No","No","n/a","n/a","n/a","2","n/a","n/a","Yes","False","True","False","False","False","False","False","False","False","True","True","False","False",1,1,3,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Land_Races","a","f",5,4,4,4,4,2,5,5,5,4,"Yes","n/a","No",45,"n/a","96","3","No","No","n/a","No","n/a",2,30,"No",1,"No",50,115,50000,"Yes","43","100000","100",60,TRUE,"2",FALSE
"2021-04-17","F_2402",81,"Yes","Yes","Yes","n/a",9,0.5,1,2,0,"n/a",30,"Female","a","d",15,4,"b",2,"2012-01-01","No","Yes","d","n/a","5","n/a","3","n/a","Yes","False","False","False","True","False","True","False","False","False","False","False","False","False",1,1,1,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Longe_5","d","n/a",4,4,3,3,4,1,3,4,3,4,"Yes","n/a","Yes",4,"3500","96","1","No","Yes","5","No","n/a",2,30,"Yes",2,"Yes",4,100,70000,"Yes","2","70000","0",6,TRUE,"2",FALSE
"2021-04-17","F_2407",81,"Yes","Yes","Yes","n/a",10,1,1,2,0.1,"n/a",46,"Male","a","c",7,4,"b",3,"1995-01-01","No","No","n/a","n/a","n/a","2","n/a","n/a","No","False","False","False","False","False","True","False","False","False","False","True","False","True",1,1,1,"Yes","True","False","False","False","False","False","False","80","Land_Races","a","c",5,4,3,2,1,2,5,1,3,2,"No","n/a","No",30,"n/a","96","8","No","No","n/a","No","n/a",3,14,"No",3,"No",10,100,50000,"Yes","6","100000","20",16,TRUE,"2",FALSE
"2021-04-17","F_2410",81,"Yes","Yes","Yes","n/a",10,0.5,10,1,0.1,"n/a",34,"Male","a","d",9,4,"b",3,"2006-01-01","No","No","n/a","n/a","n/a","2","n/a","n/a","Yes","False","False","False","False","False","True","False","False","False","False","True","False","True",1,1,1,"Yes","True","False","False","False","False","False","False","50","Land_Races","a","f",1,1,3,2,1,1,5,1,4,3,"No","n/a","No",15,"n/a","96","4","No","No","n/a","No","n/a",3,14,"No",2,"Yes",2,100,50000,"No","n/a","n/a","n/a",6,TRUE,"2",FALSE
"2021-04-17","F_1881",94,"Yes","Yes","Yes","n/a",20,0.5,5,1,0,"n/a",40,"Female","a","b",4,2,"b",1,"2000-01-01","No","No","n/a","n/a","n/a","2","n/a","n/a","Yes","False","False","False","False","False","True","False","False","False","False","False","False","False",1,1,1,"Yes","False","True","False","False","False","False","False","50","Land_Races","b","e",4,3,2,2,2,1,3,3,2,3,"Yes","n/a","Yes",5,"0","96","5","No","No","n/a","No","n/a",3,13,"Yes",2,"Yes",3,100,40000,"Yes","2","40000","10",4,TRUE,"2",TRUE
"2021-04-17","F_2401",81,"Yes","Yes","Yes","n/a",10,2,5,2,0.04,"n/a",48,"Male","a","b",9,4,"b",3,"2000-01-01","No","No","n/a","n/a","n/a","6","n/a","n/a","No","False","False","False","False","False","False","False","False","False","False","True","False","True",1,1,1,"Yes","False","False","False","True","False","False","False","60","Land_Races","a","f",2,2,3,2,2,2,5,2,4,4,"Yes","n/a","Yes",12,"n/a","96","4","No","No","n/a","No","n/a",3,21,"No",3,"Yes",5,100,60000,"Yes","3","100000","21",8,TRUE,"2",FALSE
