"date","shop_ID","checq","why","other_why","check.owner.agree.age","check.owner.agree.gender","check.owner.agree.educ","check.owner.agree.ownership","check.owner.agree.gen_o","check.owner.agree.q2a","check.owner.agree.q2b","check.owner.agree.q2c","check.owner.agree.q2c1","check.owner.agree.q5","check.owner.agree.q6","check.owner.agree.q7","check.owner.agree.client.q9a","check.owner.agree.client.q9b","check.owner.agree.client.q9c","check.owner.agree.client.q9d","check.owner.agree.q10","check.owner.agree.q11a","check.owner.agree.q11b","check.owner.agree.q11c","check.owner.agree.nr_var","check.owner.agree.q19","check.owner.agree.q20","check.owner.agree.long10h.q21","check.owner.agree.long10h.q22","check.owner.agree.long10h.q23","check.owner.agree.long10h.q24","check.owner.agree.long10h.carry","check.owner.agree.long10h.q25","check.owner.agree.long10h.q26","check.owner.agree.long10h.sold","check.owner.agree.long10h.q27","check.owner.agree.long10h.q29","check.owner.agree.long10h.q30","check.owner.agree.long10h.q31","check.owner.agree.q32","check.owner.agree.longe7H.q38","check.owner.agree.longe7H.q39","check.owner.agree.q44","check.owner.agree.q45","check.owner.agree.longe5.q46","check.owner.agree.longe5.q47","check.owner.agree.longe5.q48","check.owner.agree.longe5.q49","check.owner.agree.longe5.carry3","check.owner.agree.longe5.q50","check.owner.agree.longe5.q51","check.owner.agree.longe5.sold3","check.owner.agree.longe5.q52","check.owner.agree.longe5.q54","check.owner.agree.longe5.q55","check.owner.agree.longe5.q56","check.owner.agree.q57","check.owner.agree.longe4.q62","check.owner.agree.longe4.q63","check.owner.agree.temp.q69","check.owner.agree.temp.q71","check.owner.agree.temp.q72","check.owner.agree.temp.q73","check.owner.agree.temp.q74","check.owner.agree.temp.q75","check.owner.agree.temp.q78","check.owner.agree.temp.q79","check.owner.agree.temp.q80","check.owner.agree.temp.q81","check.owner.agree.temp.q81a","check.owner.agree.temp.q82","check.owner.agree.q83.a","check.owner.agree.q83.b","check.owner.agree.q83.c","check.owner.agree.q83.d","check.owner.agree.q83.e","check.owner.agree.q83.f","check.owner.agree.q83.g","check.owner.agree.q83.96","check.owner.agree.q85","check.owner.agree.q86","check.owner.agree.q87","check.owner.agree.q88","check.owner.agree.q89","check.owner.agree.q90","check.owner.agree.q93","check.owner.agree.q96","check.owner.agree.q96b","check.owner.agree.q97.a","check.owner.agree.q97.b","check.owner.agree.q97.c","check.owner.agree.q97.d","check.owner.agree.q97.96","check.owner.agree.q99x","check.owner.agree.q99","check.owner.agree.q100","check.owner.agree.q101","check.owner.agree.q102","check.owner.agree.q103","check.owner.agree.skill.q104","check.owner.agree.skill.q105","check.owner.agree.skill.q106","check.owner.agree.skill.q107","check.owner.agree.skill.q108","check.owner.agree.skill.q109","check.owner.agree.skill.q110","check.owner.agree.skill.q111","check.owner.agree.skill.q112","check.owner.agree.skill.q113","check.owner.agree.inspection.q114","check.owner.agree.inspection.q115","check.owner.agree.inspection.q116","check.owner.agree.inspection.q117","check.owner.agree.inspection.q118","check.owner.agree.inspection.q119","check.owner.agree.inspection.q121","check.owner.agree.inspection.q122","reading","exp","date_pack","origin","cert","lot","verif","variety","other_var","company","age","kg_improved"
"2022-07-15","AD_341","Yes","n/a","n/a","75","Female","a","Yes","n/a","n/a","n/a","n/a","n/a","Yes","15","10","Yes","Yes","4","3","No","No","n/a","n/a","1","0","No","n/a","n/a","n/a","n/a","n/a",0,"n/a","n/a","n/a","n/a","n/a","n/a","No",0,"n/a","1","Yes","0","250","a","2500","250",250,"3000","0","n/a","Yes","3","5","No",0,"n/a","Yes","Yes","No","Yes","Yes","No","2","4","No","Yes","No","2","True","False","False","False","False","False","False","False","c","c","3","No","1","c","1","No","n/a","True","False","False","False","False","3","3","5","5","2","3","88","a","88","c","c","a","b","c","b","b","Yes","Yes","Yes","0","No","No","No","No",15.3,"2022-08-06","2022-07-27","Yes","No","Yes","No","Longe 5 (nalongo)","n/a",12,14,250
"2022-07-18","AD_219","Yes","n/a","n/a","32","Male","f","Yes","n/a","n/a","n/a","n/a","n/a","Yes","30","22","Yes","Yes","3","4","Yes","Yes","Yes","4","3","2","No","n/a","n/a","n/a","n/a","n/a",0,"n/a","n/a","n/a","n/a","n/a","n/a","No",0,"n/a","1","Yes","0","1000","b","2500","1000",0,"3000","1000","0","Yes","3","30","No",0,"n/a","Yes","Yes","Yes","Yes","Yes","Yes","2","4","No","Yes","No","3","True","False","False","False","False","False","False","False","c","c","3","Yes","2","c","2","No","n/a","True","True","False","False","False","4","3","4","4","4","4","b","a","c","b","c","c","b","c","a","c","Yes","Yes","Yes","2","Yes","No","Yes","Yes",12.1,"2022-07-20","n/a","Yes","No","No","No","Longe 5 (nalongo)","n/a",96,NA,0
"2022-07-23","AD_245","Yes","n/a","n/a","38","Male","e","Yes","n/a","Yes","Yes","3.2","Yes","Yes","30","18","Yes","Yes","4","5","Yes","n/a","n/a","n/a","3","2","Yes","0","4000","b","5000","4000",3200,"6000","800","0","No","n/a","n/a","No",0,"n/a","1","Yes","0","2000","b","2500","2000",2000,"3000","0","n/a","No","n/a","n/a","No",0,"n/a","Yes","No","No","Yes","Yes","Yes","2","4","No","Yes","n/a","5","True","False","False","False","False","False","False","False","b","b","2","Yes","1","b","2","Yes","d","True","False","False","False","False","4","5","5","4","5","5","a","a","b","b","c","a","a","c","c","c","Yes","Yes","Yes","3","Yes","Yes","No","No",12.5,"2022-07-28","2022-05-13","Yes","No","Yes","No","Longe 10H","n/a",1,89,5200
"2022-07-14","AD_316","Yes","n/a","n/a","41","Female","b","No","Female","Yes","Yes","2.5","Yes","Yes","20","5","Yes","Yes","5","5","No","n/a","n/a","n/a","5","3","Yes","0","200","b","5000","200",200,"6000","0","n/a","Yes","2","7","No",0,"n/a","2","Yes","0","30","b","2500","30",2,"3000","28","0","No","n/a","n/a","Yes",100,"3000","Yes","No","Yes","Yes","Yes","Yes","2","4","No","Yes","n/a","2","False","True","False","False","True","False","False","False","b","c","2","Yes","1","c","2","No","n/a","True","True","False","False","False","5","5","4","5","3","5","b","b","c","b","c","c","b","b","b","b","98","Yes","98","2","No","No","No","No",12.8,"2022-07-17","2021-08-17","Yes","No","Yes","No","Bazooka","n/a",1,358,302
"2022-08-02","AD_214","Yes","n/a","n/a","35","Male","e","Yes","n/a","n/a","n/a","n/a","n/a","Yes","15","10","Yes","Yes","4","4","No","n/a","n/a","n/a","5","4","Yes","0","80","a","5000","80",80,"7500","0","n/a","No","n/a","n/a","No",0,"n/a","1","Yes","0","100","a","3000","100",100,"3500","0","n/a","No","n/a","n/a","No",0,"n/a","No","No","Yes","No","Yes","Yes","2","5","No","No","n/a","2","True","False","False","False","False","False","False","False","c","c","1","No","1","c","2","No","n/a","True","True","False","False","False","4","4","4","5","4","5","b","88","c","b","c","a","a","a","a","b","No","Yes","No","0","No","No","No","Yes",15.6,"2022-08-03","2022-05-11","Yes","No","Yes","No","Longe 5 (nalongo)","n/a",12,91,180
"2022-07-23","AD_226","Yes","n/a","n/a","40","Male","e","No","Male","Yes","Yes","2.6","Yes","Yes","30","20","Yes","Yes","4","5","Yes","n/a","n/a","n/a","6","5","Yes","0","1000","b","5000","1000",1000,"6000","0","n/a","No","n/a","n/a","Yes",400,"5000","1","Yes","0","1000","b","3000","1000",1000,"3500","0","n/a","No","n/a","n/a","No",0,"n/a","Yes","No","No","Yes","Yes","Yes","2","4","No","Yes","n/a","4","True","False","False","False","False","False","False","False","a","b","2","Yes","1","c","2","No","n/a","True","True","False","False","False","5","4","5","5","5","5","a","a","c","b","c","a","b","c","c","c","No","Yes","Yes","3","No","No","Yes","Yes",12.5,"2022-07-26","2022-04-05","Yes","No","Yes","No","Bazooka","n/a",1,127,2400
"2022-07-16","AD_220","Yes","n/a","n/a","39","Male","e","Yes","n/a","Yes","Yes","3.7","Yes","No","15","7","Yes","Yes","3","4","No","n/a","n/a","n/a","4","2","Yes","0","600","a","5000","600",600,"6000","0","n/a","No","n/a","n/a","No",0,"n/a","2","Yes","0","200","a","3000","200",200,"3500","0","n/a","No","n/a","n/a","Yes",80,"3000","Yes","Yes","Yes","Yes","Yes","Yes","2","3","No","No","n/a","3","False","False","False","False","True","False","False","False","c","c","1","Yes","1","a","2","Yes","96","True","True","False","True","False","4","3","3","4","4","4","b","a","b","b","b","c","b","a","a","b","No","No","No","999","No","No","No","No",12.6,"2022-07-20","2022-04-04","Yes","No","Yes","No","Bazooka","n/a",1,128,880
"n/a","AD_303","Yes","n/a","n/a","50","Male","e","Yes","n/a","Yes","Yes","4","Yes","No","20","10","Yes","Yes","3","4","No","No","n/a","n/a","5","4","Yes","0","400","a","5500","400",400,"6000","0","n/a","No","n/a","n/a","No",0,"n/a","1","Yes","0","200","a","2700","200",200,"3000","0","n/a","No","n/a","n/a","No",0,"n/a","No","Yes","Yes","No","Yes","Yes","2","3","No","No","No","2","True","False","False","False","False","False","False","False","c","c","1","No","1","b","2","No","n/a","True","True","False","False","False","4","3","4","4","4","3","b","b","b","b","b","c","a","b","a","b","No","Yes","No","0","No","No","No","No",15.2,"2022-08-03","2022-05-11","Yes","No","Yes","No","Longe 5 (nalongo)","n/a",12,91,600
"2022-07-23","AD_279","Yes","n/a","n/a","47","Female","c","Yes","n/a","Yes","Yes","3.6","Yes","Yes","30","20","Yes","Yes","4","4","Yes","n/a","n/a","n/a","3","2","Yes","0","500","b","4400","500",500,"6000","0","n/a","No","n/a","n/a","No",0,"n/a","1","Yes","0","500","b","2500","500",500,"3000","0","n/a","No","n/a","n/a","No",0,"n/a","Yes","Yes","Yes","Yes","Yes","Yes","1","4","No","Yes","n/a","4","True","False","False","False","False","False","False","False","b","b","2","Yes","1","c","2","No","n/a","True","True","False","False","False","4","5","5","4","4","4","a","a","c","b","c","a","b","c","c","c","No","Yes","No","2","No","No","No","Yes",12.2,"2022-07-26","2022-06-13","Yes","No","Yes","No","Longe 10H","n/a",1,58,1000
"2022-07-18","AD_108","Yes","n/a","n/a","26","Male","f","Yes","n/a","Yes","Yes","4","No","Yes","50","45","Yes","Yes","5","5","Yes","n/a","n/a","n/a","5","3","Yes","0","2000","b","5000","2000",2000,"6000","0","n/a","No","n/a","n/a","No",0,"n/a","2","Yes","0","5000","b","2300","5000",5000,"4000","0","n/a","No","n/a","n/a","No",0,"n/a","Yes","No","Yes","Yes","Yes","Yes","2","4","No","Yes","n/a","3","False","True","False","False","False","False","False","False","c","c","2","Yes","1","c","1","No","n/a","True","True","False","False","False","4","4","5","5","5","4","b","c","c","b","c","c","a","b","a","c","Yes","Yes","No","4","No","No","No","No",12.7,"2022-07-20","2022-06-14","Yes","No","Yes","No","Longe 10H","n/a",1,57,7000
