"farmer_ID","shop_ID","knows_dealer","bought_at_dealer","duration_customer","knows_other_customer","refunds","gives_credit","gives_advice","delivers","after_sales_service","payment_mehtods","small_quant","catchID"
"F_2038","AD_12","Yes","Yes","2020-02-01","n/a","No","No","Yes","No","No","98","Yes","64"
"F_2343","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2032","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2341","AD_12","Yes","Yes","2009-02-01","n/a","Yes","Yes","Yes","No","No","No","Yes","64"
"F_2031","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2342","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2033","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2040","AD_12","Yes","No","n/a","Yes","Yes","Yes","No","No","No","No","No","64"
"F_2034","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2037","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2039","AD_12","Yes","Yes","2019-02-01","n/a","Yes","No","No","No","No","No","Yes","64"
"F_2035","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_1475","AD_130","Yes","Yes","2020-02-01","n/a","No","No","Yes","98","98","Yes","Yes","30"
"F_1477","AD_130","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1476","AD_130","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1471","AD_130","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1472","AD_130","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1474","AD_130","Yes","No","n/a","Yes","No","Yes","Yes","Yes","Yes","Yes","No","30"
"F_1473","AD_130","Yes","No","n/a","Yes","No","Yes","No","No","No","Yes","98","30"
"F_1300","AD_130","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1479","AD_130","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1297","AD_130","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1299","AD_130","Yes","No","n/a","Yes","No","Yes","Yes","Yes","No","Yes","Yes","30"
