"farmer_ID","shop_ID","knows_dealer","bought_at_dealer","duration_customer","knows_other_customer","refunds","gives_credit","gives_advice","delivers","after_sales_service","payment_mehtods","small_quant","catchID"
"F_3044","AD_3","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_3317","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3314","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3316","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3318","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2036","AD_282","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2345","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2038","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2343","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2032","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2341","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2031","AD_282","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2342","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2033","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2040","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2034","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2037","AD_282","Yes","Yes","2007-02-01","n/a","Yes","Yes","No","Yes","No","Yes","Yes","64"
"F_2039","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2035","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_1475","AD_231","Yes","Yes","2018-02-01","n/a","No","Yes","Yes","No","No","Yes","Yes","30"
"F_1477","AD_231","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1476","AD_231","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1471","AD_231","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1472","AD_231","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1474","AD_231","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1473","AD_231","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1300","AD_231","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1479","AD_231","Yes","No","n/a","Yes","Yes","Yes","98","98","98","98","Yes","30"
"F_1297","AD_231","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1299","AD_231","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1478","AD_231","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1480","AD_231","Yes","No","n/a","Yes","98","Yes","Yes","No","No","98","98","30"
"F_1298","AD_231","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1296","AD_231","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1295","AD_231","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1291","AD_231","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1294","AD_231","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1293","AD_231","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_2426","AD_231","Yes","Yes","2014-02-01","n/a","No","98","98","98","98","98","98","30"
"F_2427","AD_231","Yes","Yes","2016-02-01","n/a","Yes","Yes","Yes","Yes","Yes","Yes","Yes","30"
"F_2428","AD_231","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_2422","AD_231","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_2430","AD_231","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_2421","AD_231","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_71","AD_285","Yes","Yes","2019-02-01","n/a","No","No","Yes","No","No","No","Yes","8"
"F_72","AD_285","Yes","Yes","2016-02-01","n/a","No","No","Yes","No","No","98","Yes","8"
"F_2424","AD_231","Yes","Yes","2019-02-01","n/a","Yes","Yes","Yes","No","Yes","Yes","Yes","30"
"F_73","AD_285","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_2429","AD_231","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_76","AD_285","Yes","No","n/a","Yes","No","No","98","No","98","98","Yes","8"
"F_1292","AD_231","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_2425","AD_231","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_2822","AD_285","Yes","Yes","2019-02-01","n/a","No","Yes","Yes","Yes","Yes","Yes","Yes","8"
"F_2423","AD_231","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_3400","AD_285","Yes","Yes","2014-02-01","n/a","No","No","No","No","No","No","Yes","8"
"F_886","AD_282","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_889","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_887","AD_282","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2830","AD_285","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_2826","AD_285","Yes","Yes","2018-02-01","n/a","98","No","Yes","No","98","No","Yes","8"
"F_2828","AD_285","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_2827","AD_285","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_2829","AD_285","Yes","Yes","2017-02-01","n/a","98","98","Yes","No","No","No","Yes","8"
"F_2821","AD_285","Yes","Yes","2018-02-01","n/a","98","98","Yes","98","No","No","Yes","8"
"F_352","AD_231","Yes","Yes","2012-02-01","n/a","No","No","No","No","No","No","Yes","30"
"F_2823","AD_285","Yes","Yes","2016-02-01","n/a","98","No","Yes","No","No","No","Yes","8"
"F_355","AD_231","Yes","Yes","2018-02-01","n/a","Yes","Yes","Yes","No","Yes","No","Yes","30"
"F_2824","AD_285","Yes","Yes","2017-02-01","n/a","98","98","Yes","No","No","98","Yes","8"
"F_351","AD_231","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_354","AD_231","Yes","No","n/a","Yes","98","98","98","98","Yes","No","Yes","30"
"F_2786","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2783","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_353","AD_231","Yes","Yes","2018-02-01","n/a","Yes","Yes","Yes","No","Yes","No","Yes","30"
"F_2782","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_360","AD_231","Yes","Yes","2016-02-01","n/a","No","Yes","Yes","No","Yes","98","Yes","30"
"F_149","AD_242","Yes","Yes","2020-02-01","n/a","98","No","Yes","98","No","98","Yes","14"
"F_143","AD_242","Yes","No","n/a","Yes","98","98","98","98","98","98","98","14"
"F_74","AD_285","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_150","AD_242","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","14"
"F_77","AD_285","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_78","AD_285","Yes","Yes","2005-02-01","n/a","No","No","No","No","No","No","Yes","8"
"F_79","AD_285","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_80","AD_285","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_2825","AD_285","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_356","AD_231","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_884","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_885","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_359","AD_231","Yes","Yes","2015-02-01","n/a","Yes","Yes","Yes","No","No","No","Yes","30"
"F_888","AD_282","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_1146","AD_201","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_1878","AD_201","Yes","Yes","2017-02-01","n/a","Yes","Yes","Yes","Yes","Yes","Yes","No","70"
"F_1150","AD_201","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_148","AD_242","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","14"
"F_142","AD_242","Yes","Yes","2019-02-01","n/a","No","Yes","No","No","No","No","No","14"
"F_1873","AD_201","Yes","Yes","2016-02-01","n/a","Yes","Yes","Yes","Yes","Yes","Yes","Yes","70"
"F_1871","AD_201","Yes","No","n/a","Yes","Yes","Yes","Yes","98","98","98","98","70"
"F_2064","AD_285","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_145","AD_242","Yes","Yes","2019-02-01","n/a","98","No","Yes","No","No","No","Yes","14"
"F_1872","AD_201","Yes","Yes","2017-02-01","n/a","No","No","Yes","Yes","No","Yes","No","70"
"F_1874","AD_201","Yes","Yes","2018-02-01","n/a","Yes","Yes","No","Yes","No","No","No","70"
"F_1877","AD_201","Yes","Yes","2019-02-01","n/a","Yes","Yes","Yes","Yes","No","Yes","No","70"
"F_1879","AD_201","Yes","Yes","2019-02-01","n/a","No","Yes","Yes","Yes","No","No","No","70"
"F_1875","AD_201","Yes","Yes","2017-02-01","n/a","Yes","Yes","Yes","98","98","98","No","70"
"F_3050","AD_3","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_1880","AD_201","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_1876","AD_201","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_1148","AD_201","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_1149","AD_201","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_2063","AD_285","Yes","Yes","2019-02-01","n/a","98","Yes","Yes","98","Yes","98","Yes","8"
"F_2061","AD_285","Yes","Yes","2016-02-01","n/a","No","98","Yes","No","No","98","Yes","8"
"F_1142","AD_201","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_2062","AD_285","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_1143","AD_201","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_2066","AD_285","Yes","Yes","2019-02-01","n/a","98","No","98","No","98","98","Yes","8"
"F_3396","AD_285","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_2069","AD_285","Yes","Yes","2018-02-01","n/a","No","Yes","Yes","Yes","Yes","98","Yes","8"
"F_3397","AD_285","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_1144","AD_201","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_147","AD_242","Yes","Yes","2017-02-01","n/a","No","No","Yes","No","No","No","Yes","14"
"F_2070","AD_285","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_3391","AD_285","Yes","Yes","2017-02-01","n/a","No","Yes","Yes","Yes","No","Yes","Yes","8"
"F_3392","AD_285","Yes","Yes","2020-02-01","n/a","No","Yes","Yes","No","No","Yes","Yes","8"
"F_2068","AD_285","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_3399","AD_285","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_1147","AD_201","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_2067","AD_285","Yes","Yes","2019-02-01","n/a","No","No","Yes","No","No","No","Yes","8"
"F_3398","AD_285","Yes","Yes","2019-02-01","n/a","Yes","98","Yes","98","No","98","98","8"
"F_1145","AD_201","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_3395","AD_285","Yes","Yes","2007-02-01","n/a","98","No","Yes","No","No","Yes","Yes","8"
"F_882","AD_282","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3394","AD_285","Yes","Yes","2006-02-01","n/a","No","Yes","Yes","No","No","Yes","Yes","8"
"F_883","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3393","AD_285","Yes","Yes","2021-02-01","n/a","98","Yes","Yes","98","98","98","Yes","8"
"F_2785","AD_282","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2788","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2781","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_1141","AD_201","Yes","Yes","2020-02-01","n/a","Yes","98","98","No","98","98","Yes","70"
"F_144","AD_242","Yes","Yes","2019-02-01","n/a","No","Yes","Yes","No","Yes","No","Yes","14"
"F_2784","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2787","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2789","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2790","AD_282","Yes","Yes","2016-02-01","n/a","No","No","No","No","No","Yes","Yes","64"
"F_357","AD_231","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_358","AD_231","Yes","Yes","2020-02-01","n/a","No","No","Yes","No","No","No","Yes","30"
"F_1619","AD_144","Yes","Yes","2019-02-01","n/a","Yes","Yes","Yes","No","No","98","Yes","37"
"F_1620","AD_144","Yes","Yes","2014-02-01","n/a","Yes","Yes","Yes","Yes","98","98","Yes","37"
"F_1617","AD_144","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_1618","AD_144","Yes","Yes","2020-02-01","n/a","98","98","Yes","Yes","Yes","98","Yes","37"
"F_1616","AD_144","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_1430","AD_101","Yes","Yes","2017-02-01","n/a","Yes","Yes","Yes","No","Yes","Yes","Yes","4"
"F_1615","AD_144","Yes","Yes","2019-02-01","n/a","Yes","No","Yes","Yes","No","98","Yes","37"
"F_1427","AD_101","Yes","Yes","2018-02-01","n/a","Yes","98","Yes","98","Yes","Yes","Yes","4"
"F_1614","AD_144","Yes","Yes","2020-02-01","n/a","Yes","Yes","Yes","No","No","98","Yes","37"
"F_1612","AD_144","Yes","Yes","2017-02-01","n/a","Yes","98","Yes","Yes","Yes","98","Yes","37"
"F_1611","AD_144","Yes","Yes","2020-02-01","n/a","Yes","Yes","Yes","No","No","98","Yes","37"
"F_1613","AD_144","Yes","Yes","2016-02-01","n/a","Yes","Yes","Yes","Yes","Yes","98","Yes","37"
"F_1428","AD_101","Yes","Yes","2020-02-01","n/a","Yes","No","Yes","No","No","No","Yes","4"
"F_1422","AD_101","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4"
"F_504","AD_144","Yes","Yes","2020-02-01","n/a","98","No","Yes","Yes","Yes","98","Yes","37"
"F_1424","AD_101","Yes","Yes","2021-02-01","n/a","No","No","Yes","98","No","Yes","Yes","4"
"F_509","AD_144","Yes","Yes","2021-02-01","n/a","98","No","No","No","No","Yes","Yes","37"
"F_508","AD_144","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_502","AD_144","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_503","AD_144","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_1426","AD_101","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4"
"F_501","AD_144","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_1421","AD_101","Yes","Yes","2021-02-01","n/a","No","Yes","Yes","No","No","98","Yes","4"
"F_505","AD_144","Yes","No","n/a","Yes","98","Yes","Yes","No","No","Yes","Yes","37"
"F_510","AD_144","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_507","AD_144","Yes","Yes","2021-02-01","n/a","98","No","Yes","No","No","98","Yes","37"
"F_506","AD_144","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_1429","AD_101","Yes","Yes","2015-02-01","n/a","98","98","No","No","No","98","Yes","4"
"F_1423","AD_101","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4"
"F_1425","AD_101","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4"
"F_235","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_238","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3167","AD_23","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_236","AD_282","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3168","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_234","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3170","AD_23","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_1023","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_3169","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_1025","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_3163","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_1027","AD_23","Yes","Yes","2015-02-01","n/a","No","No","No","No","No","No","Yes","10"
"F_1028","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_1026","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_94","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_97","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_100","AD_23","Yes","Yes","2020-02-01","n/a","No","No","Yes","No","No","No","Yes","10"
"F_91","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_92","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_98","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_99","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_96","AD_23","Yes","Yes","2015-02-01","n/a","98","No","No","No","No","No","Yes","10"
"F_2982","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_95","AD_23","Yes","Yes","2020-02-01","n/a","98","Yes","Yes","No","98","No","Yes","10"
"F_2983","AD_282","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_93","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_2984","AD_282","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2985","AD_282","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2981","AD_282","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_714","AD_87","Yes","Yes","2018-02-01","n/a","Yes","No","Yes","No","No","Yes","Yes","51"
"F_2595","AD_87","Yes","Yes","2019-02-01","n/a","No","No","No","No","No","No","No","51"
"F_237","AD_282","Yes","Yes","2017-02-01","n/a","No","No","No","No","No","No","No","64"
"F_718","AD_87","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","51"
"F_2598","AD_87","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","51"
"F_233","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3349","AD_87","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","51"
"F_2592","AD_87","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","51"
"F_1024","AD_23","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_3347","AD_87","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","51"
"F_2591","AD_87","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","51"
"F_1021","AD_23","Yes","Yes","2015-02-01","n/a","Yes","No","Yes","No","No","No","Yes","10"
"F_3350","AD_87","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","51"
"F_2600","AD_87","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","51"
"F_1022","AD_23","Yes","Yes","2017-02-01","n/a","98","No","Yes","No","No","98","98","10"
"F_1030","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_3344","AD_87","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","51"
"F_1029","AD_23","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_1458","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_3348","AD_87","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","51"
"F_1452","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_3341","AD_87","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","51"
"F_1454","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_1451","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_1459","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_1455","AD_23","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_2811","AD_251","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","88"
"F_1453","AD_23","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_2820","AD_251","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","88"
"F_2819","AD_251","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","88"
"F_1460","AD_23","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_2813","AD_251","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","88"
"F_2812","AD_251","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","88"
"F_2816","AD_251","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","88"
"F_2817","AD_251","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","88"
"F_1457","AD_23","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_2815","AD_251","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","88"
"F_1456","AD_23","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_2814","AD_251","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","88"
"F_2818","AD_251","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","88"
"F_231","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_239","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_240","AD_282","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3166","AD_23","Yes","Yes","2018-02-01","n/a","No","No","Yes","No","No","No","Yes","10"
"F_3161","AD_23","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_3162","AD_23","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_3165","AD_23","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_3164","AD_23","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_1694","AD_251","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","88"
"F_1691","AD_251","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","88"
"F_1699","AD_251","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","88"
"F_1692","AD_251","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","88"
"F_716","AD_87","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","51"
"F_1697","AD_251","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","88"
